,ticker,data,abertura,maximo,minimo,medio,fechamento,volume
0,RNEW4,2023-04-04,1.67,1.71,1.59,1.63,1.59,137019.0
1,RNEW4,2023-04-05,1.64,1.64,1.59,1.6,1.59,25810.0
2,RNEW4,2023-04-06,1.62,1.62,1.54,1.57,1.59,34098.0
3,RNEW4,2023-04-10,1.59,1.59,1.53,1.55,1.56,70469.0
4,RNEW4,2023-04-11,1.56,1.61,1.54,1.57,1.61,64238.0
5,RNEW4,2023-04-12,1.61,1.62,1.56,1.57,1.57,62909.0
6,RNEW4,2023-04-13,1.58,1.72,1.55,1.63,1.65,168714.0
7,RNEW4,2023-04-14,1.63,1.64,1.58,1.6,1.58,62504.0
8,RNEW4,2023-04-17,1.58,1.69,1.57,1.61,1.66,72129.0
9,RNEW4,2023-04-18,1.66,1.73,1.64,1.68,1.68,99909.0
10,RNEW4,2023-04-19,1.68,1.72,1.63,1.66,1.67,105953.0
11,RNEW4,2023-04-20,1.73,1.75,1.68,1.71,1.72,78151.0
12,RNEW4,2023-04-24,1.72,1.79,1.67,1.75,1.73,70821.0
13,RNEW4,2023-04-25,1.82,1.82,1.7,1.72,1.7,39717.0
14,RNEW4,2023-04-26,1.82,1.82,1.68,1.76,1.68,191873.0
15,RNEW4,2023-04-27,1.7,1.74,1.65,1.66,1.65,136037.0
16,RNEW4,2023-04-28,1.65,1.69,1.61,1.64,1.62,102924.0
17,RNEW4,2023-05-02,1.62,1.62,1.52,1.56,1.58,148814.0
18,RNEW4,2023-05-03,1.58,1.58,1.46,1.5,1.54,152555.0
19,RNEW4,2023-05-04,1.52,1.56,1.48,1.5,1.53,118473.0
20,RNEW4,2023-05-05,1.53,1.57,1.47,1.52,1.52,191836.0
21,RNEW4,2023-05-08,1.54,1.59,1.49,1.51,1.5,214488.0
22,RNEW4,2023-05-09,1.52,1.57,1.5,1.52,1.56,205278.0
23,RNEW4,2023-05-10,1.56,1.58,1.53,1.54,1.56,112192.0
24,RNEW4,2023-05-11,1.53,1.59,1.53,1.54,1.57,208159.0
25,RNEW4,2023-05-12,1.6,1.7,1.56,1.63,1.65,320957.0
26,RNEW4,2023-05-15,1.65,1.67,1.53,1.6,1.64,575431.0
27,RNEW4,2023-05-16,1.63,1.67,1.59,1.62,1.61,122301.0
28,RNEW4,2023-05-17,1.62,1.66,1.58,1.59,1.59,209645.0
29,RNEW4,2023-05-18,1.6,1.62,1.57,1.58,1.61,110341.0
30,RNEW4,2023-05-19,1.6,1.61,1.57,1.58,1.57,96773.0
31,RNEW4,2023-05-22,1.59,1.6,1.56,1.57,1.58,73234.0
32,RNEW4,2023-05-23,1.58,1.6,1.53,1.56,1.53,114909.0
33,RNEW4,2023-05-24,1.54,1.56,1.52,1.54,1.53,104720.0
34,RNEW4,2023-05-25,1.55,1.57,1.52,1.53,1.52,80622.0
35,RNEW4,2023-05-26,1.53,1.55,1.5,1.51,1.52,191251.0
36,RNEW4,2023-05-29,1.53,1.54,1.49,1.5,1.5,153749.0
37,RNEW4,2023-05-30,1.51,1.53,1.5,1.5,1.53,140146.0
38,RNEW4,2023-05-31,1.52,1.54,1.49,1.5,1.5,75679.0
